"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Power";;;
2;"J2";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Temp 0";;;
3;"J3";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Input 0";;;
4;"J4";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Input 1";;;
5;"J5";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Output 0";;;
6;"J6";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Output 1";;;
7;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4.7K";;;
8;"R3,R4,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10K";;;
9;"SW1,SW2,SW3";"SW_PUSH_6mm_H4.3mm";3;"SW_Push";;;
10;"A1";"NodeMCU";1;"NodeMCU_ESP12E_Module";;;
11;"U1";"PinHeader_1x04_P2.54mm_Vertical";1;"SSD1306_128x32";;;
12;"D1,D3";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED";;;
13;"D2,D4";"D_SOD-123";2;"1N4148W";;;
14;"Q2,Q1";"SOT-23-3";2;"S8050/J3Y";;;
15;"J7";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Line Out";;;
16;"J8";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Relay 0";;;
17;"JP1";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels";1;"T-0";;;
18;"U4,U3";"DIP-4_W7.62mm";2;"PC817";;;
19;"R7,R5,R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"1K";;;
20;"K2,K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";2;"G5Q-1";;;
21;"J9";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Relay 1";;;
22;"R6,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"510";;;
23;"JP2";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels";1;"R-1";;;
24;"U2";"Module_DIP16_17.8mm";1;"DFPlayer_Module";;;
